Date,Open,High,Low,Close,Adj Close,Volume
"Apr 15, 2021",550.41,556.83,536.08,542.63,542.63,"4,608,061,831"
"Apr 14, 2021",550.40,590.42,526.53,549.59,549.59,"7,452,346,448"
"Apr 13, 2021",596.99,602.30,532.96,549.59,549.59,"9,433,830,832"
"Apr 12, 2021",526.70,637.44,516.28,598.72,598.72,"14,436,315,725"
"Apr 11, 2021",471.65,529.65,459.59,525.39,525.39,"5,697,422,904"
"Apr 10, 2021",454.34,487.28,451.36,472.56,472.56,"6,160,670,397"
"Apr 09, 2021",418.05,453.70,405.44,453.18,453.18,"4,701,175,013"
"Apr 08, 2021",376.27,422.47,372.52,418.04,418.04,"4,550,316,562"
"Apr 07, 2021",403.70,414.36,358.74,374.66,374.66,"5,976,362,849"
"Apr 06, 2021",368.10,412.26,364.13,403.59,403.59,"5,277,448,222"
"Apr 05, 2021",351.24,381.03,339.46,367.77,367.77,"4,073,047,973"
"Apr 04, 2021",323.35,353.43,319.85,351.62,351.62,"3,200,674,446"
